Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2020-0022,1,2020-04-07,2020,Abril,7,Martes,Otoño,06:15:00,6,"DELLEPIANE, LUIS, TTE. GRAL. Y ESCALADA AV.",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,Comuna 9,Villa Lugano,AUTO-CARGAS,AUTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,44,41-60
2020-0023,1,2020-04-09,2020,Abril,9,Jueves,Otoño,18:42:00,18,"ARAOZ DE LAMADRID, GREGORIO, GRAL. Y BROWN, ALTE. AV.",AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",True,Comuna 4,Boca,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,44,41-60
2020-0024,1,2020-04-24,2020,Abril,24,Viernes,Otoño,07:58:00,7,MURGUIONDO 1339,CALLE,MURGUIONDO,False,Comuna 9,Mataderos,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,53,41-60
2020-0025,1,2020-05-12,2020,Mayo,12,Martes,Otoño,05:35:00,5,RIVADAVIA AV. 2551,AVENIDA,RIVADAVIA AV.,False,Comuna 3,Balvanera,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,54,41-60
2020-0026,1,2020-05-17,2020,Mayo,17,Domingo,Otoño,06:40:00,6,"LUGONES, LEOPOLDO AV. KM 6,1",AUTOPISTA,"LUGONES, LEOPOLDO AV.",False,Comuna 14,Belgrano,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,28,26-40
2020-0027,1,2020-05-18,2020,Mayo,18,Lunes,Otoño,08:00:00,8,"DELLEPIANE, LUIS, TTE. GRAL. Y MONTIEL",AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",True,Comuna 8,Villa Lugano,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,76,61+
2020-0028,1,2020-05-19,2020,Mayo,19,Martes,Otoño,10:00:00,10,"SCALABRINI ORTIZ, RAUL AV. Y WARNES AV.",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",True,Comuna 15,Villa Crespo,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,91,61+
2020-0029,1,2020-06-10,2020,Junio,10,Miércoles,Invierno,14:00:00,14,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 9,Liniers,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,80,61+
2020-0030,1,2020-06-16,2020,Junio,16,Martes,Invierno,15:00:00,15,SAN MARTIN AV. 1550,AVENIDA,SAN MARTIN AV.,False,Comuna 6,Caballito,MULTIPLE,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,40,41-60
2020-0031,1,2020-06-30,2020,Junio,30,Martes,Invierno,08:00:00,8,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",AVENIDA,"GARZON, EUGENIO, GRAL. AV.",True,Comuna 9,Mataderos,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,29,26-40
2020-0032,1,2020-07-10,2020,Julio,10,Viernes,Invierno,23:00:00,23,CORRIENTES AV. Y SERRANO,AVENIDA,CORRIENTES AV.,True,Comuna 15,Villa Crespo,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,21,19-25
2020-0033,1,2020-07-19,2020,Julio,19,Domingo,Invierno,06:25:00,6,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,32,26-40
2020-0034,1,2020-08-02,2020,Agosto,2,Domingo,Invierno,03:20:00,3,"MITRE, BARTOLOME Y ANCHORENA, TOMAS MANUEL DE, DR.",CALLE,"MITRE, BARTOLOME",True,Comuna 3,Balvanera,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,3,0-18
2020-0035,1,2020-08-04,2020,Agosto,4,Martes,Invierno,05:30:00,5,"AU 25 DE MAYO ALTURA PUMACAHUA Y RECUERO, CASIMIRO, TTE. CNEL.",AUTOPISTA,AUTOPISTA 25 DE MAYO,False,Comuna 7,Parque Chacabuco,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,40,41-60
2020-0036,1,2020-08-07,2020,Agosto,7,Viernes,Invierno,18:40:00,18,"SCALABRINI ORTIZ, RAUL AV. Y PARAGUAY",AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",True,Comuna 14,Palermo,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,72,61+
2020-0037,1,2020-08-29,2020,Agosto,29,Sábado,Invierno,04:30:00,4,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y VARELA AV.",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",True,Comuna 8,Villa Soldati,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,38,26-40
2020-0038,2,2020-08-30,2020,Agosto,30,Domingo,Invierno,04:00:00,4,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,LAS HERAS GENERAL AV.,True,Comuna 14,Palermo,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,46,41-60
