Hechos_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Edad
2018-0013,1,1,1,1,44
2018-0014,3,6,3,1,60
2018-0015,1,2,1,1,28
2018-0015,1,2,2,1,19
2018-0016,1,5,1,1,31
2018-0017,3,1,3,1,35
2018-0018,1,5,1,1,26
2018-0019,3,2,3,2,80
2018-0020,1,5,1,1,26
2018-0021,3,2,3,2,62
2018-0022,1,5,1,1,28
2018-0023,1,1,1,1,28
2018-0024,3,5,3,1,70
2018-0025,3,1,3,1,70
2018-0026,8,5,1,1,24
2018-0026,8,5,2,1,30
2018-0027,3,6,3,2,74
2018-0028,3,5,3,1,71
2018-0029,1,1,1,1,26
2018-0030,1,6,1,1,24
2018-0031,1,5,1,1,31
2018-0032,3,2,3,1,70
2018-0033,1,5,1,2,42
2018-0034,3,2,3,1,24
2018-0035,3,2,3,2,39
2018-0036,1,1,1,1,37
2018-0037,3,5,3,1,84
2018-0038,3,1,3,2,59
2018-0038,3,1,3,1,61
2018-0039,3,1,3,1,37
2018-0040,3,5,3,2,43
2018-0041,3,2,3,2,78
2018-0042,1,5,2,1,23
2018-0043,1,1,1,1,25
2018-0044,3,1,3,2,50
2018-0045,2,5,1,1,60
2018-0046,3,1,3,1,11
2018-0047,3,2,3,1,82
2018-0048,3,2,3,1,57
2018-0049,3,1,3,2,40
2018-0050,3,2,3,2,47
2018-0051,3,1,3,2,57
2018-0052,3,2,3,1,78
2018-0053,1,1,1,1,43
2018-0054,3,9,3,2,86
2018-0055,1,1,1,1,21
2018-0056,3,2,3,2,69
2018-0057,1,2,1,1,33
2018-0058,1,1,1,1,26
2018-0059,1,8,1,1,54
2018-0060,3,2,3,1,51
2018-0061,1,6,1,1,51
2018-0062,3,5,3,1,32
2018-0063,3,2,3,2,28
2018-0064,2,5,1,1,30
2018-0065,1,5,1,1,35
2018-0066,3,2,3,1,73
2018-0067,7,1,2,2,81
2018-0068,1,1,1,1,21
2018-0069,6,2,4,1,20
2018-0070,1,2,1,1,33
2018-0071,1,5,1,1,61
2018-0072,1,5,1,1,27
2018-0073,3,5,3,2,67
2018-0074,2,5,1,1,25
2018-0075,3,1,3,1,23
2018-0076,2,5,1,1,73
2018-0077,2,5,1,1,58
2018-0078,3,1,3,1,27
2018-0079,3,5,3,1,81
2018-0080,3,1,3,1,26
2018-0081,3,7,3,1,35
2018-0082,1,5,1,2,17
2018-0083,1,5,1,1,16
2018-0084,3,5,3,1,45
2018-0085,1,2,2,2,22
2018-0085,1,2,1,1,30
2018-0086,3,2,3,1,40
2018-0087,3,2,3,1,75
2018-0088,1,5,1,1,63
2018-0089,3,2,3,1,80
2018-0090,1,1,1,1,27
2018-0091,2,1,2,2,23
2018-0092,1,1,1,1,23
2018-0093,3,2,3,1,24
2018-0094,1,2,1,1,32
2018-0095,2,1,2,2,49
2018-0096,3,1,3,1,39
2018-0097,2,8,1,2,35
2018-0098,2,1,1,1,55
2018-0098,2,1,2,1,54
2018-0099,3,2,3,1,18
2018-0100,1,1,1,2,33
2018-0101,2,7,1,1,63
2018-0102,1,1,1,1,20
2018-0103,3,6,3,1,1
2018-0104,1,6,1,1,22
2018-0105,3,2,3,2,56
2018-0106,1,6,1,1,27
2018-0107,3,2,3,2,62
2018-0108,1,1,1,1,37
2018-0109,3,2,3,1,34
2018-0110,3,6,3,1,60
2018-0111,1,5,1,1,28
2018-0112,1,5,1,2,28
2018-0113,1,5,1,1,20
2018-0114,1,1,1,1,23
2018-0115,3,2,3,1,42
2018-0116,3,5,3,1,48
2018-0117,1,6,1,1,30
2018-0118,3,6,3,2,80
2018-0119,3,0,3,2,32
2018-0120,3,1,3,2,51
2018-0121,3,2,3,2,72
2018-0122,2,1,1,1,33
2018-0123,2,0,1,1,25
2018-0124,5,5,1,1,44
2018-0125,3,2,3,1,29
2018-0126,1,1,1,1,27
2018-0127,1,6,1,1,29
2018-0128,2,2,2,1,49
2018-0128,2,2,2,2,39
2018-0129,1,2,1,1,37
2018-0130,1,2,1,1,48
2018-0131,1,5,1,1,29
2018-0132,3,5,3,1,70
2018-0133,3,5,3,2,60
2018-0134,3,6,3,1,56
2018-0135,3,2,3,1,80
2018-0136,3,2,3,2,70
2018-0137,1,2,2,1,29
2018-0138,7,2,2,2,79
2018-0139,1,6,2,1,28
2018-0140,2,1,1,1,78
2018-0141,3,6,3,1,75
2018-0142,5,2,2,1,32
2018-0143,1,1,1,1,22
2019-0001,1,5,1,1,25
2019-0002,2,5,1,1,32
2019-0003,1,1,1,1,23
2019-0004,2,2,1,1,71
2019-0005,1,5,1,1,43
2019-0006,3,1,3,2,12
2019-0007,1,1,1,1,35
2019-0008,1,7,1,1,42
2019-0009,1,1,1,1,34
2019-0010,3,1,3,1,63
2019-0010,3,1,3,1,59
2019-0011,3,1,3,1,52
2019-0012,1,1,1,1,31
2019-0013,3,1,3,1,39
2019-0014,1,4,1,1,69
2019-0015,2,4,1,1,21
2019-0016,1,2,1,1,40
2019-0017,2,2,1,1,22
2019-0018,3,1,3,2,29
2019-0019,1,1,1,1,56
2019-0020,1,1,1,1,43
2019-0021,1,1,1,1,23
2019-0022,2,0,2,1,65
2019-0023,2,4,1,1,34
2019-0024,1,5,1,1,32
2019-0025,3,1,3,1,27
